BarCode,Quantity
826215368335,45
826215368328,69
826215368311,51
826215368304,27
888407236457,24
888407236464,66
888407236839,72
888407236846,18
888407236938,12
888407236945,36
888407236952,42
888407236969,12
196153881570,6
196153881549,4
196153881532,7
196608716198,32
196608716174,92
196608716167,62
196608716150,24
196608716181,70
196606819709,150
196606818832,52
196974848974,14
196974952749,29
196974928706,35
196974839422,27
196974876274,14
196153473935,33
196153473928,33
196153473911,23
196153473942,16
196153473904,15
196606812366,219
197599138310,159
196606810201,204
196606817132,126
196606818733,132
196608717669,26
196608717645,42
196608717638,37
196608717621,19
196608717652,36
197597259154,19
197597259741,18
197597258867,6
197597261515,11
197860196964,159
197859923380,6
197859942619,12
197859952984,11
197859927760,5
198482863616,99
196152694133,12
196152694126,48
196152694119,48
196152694102,12
198727260736,17
198727283018,24
198727260392,27
198727260088,12
198728894855,72
198487832198,126
198728886560,99
198728612848,39
198728609770,111
198728646935,76
198728624216,29
198728649035,85
198728621345,23
198728649837,37
198728650123,32
198728629846,16
198728622953,32
198729843432,32
198729734242,36
198729822420,17
198729638380,23
197859209231,35
197859233311,100
197859226696,70
197859177912,24
197859177967,79
198731677438,14
198731702130,36
198731676066,29
198731690000,14
198731692493,27
198727283094,22
198727287542,31
198727259327,26
198727279516,8
198727263799,13
198730305219,17
198730305165,25
198730306100,21
198730305196,6
198730307107,11
198730304748,13
198730303451,18
198730306124,16
198730307985,5
198730305943,8
198728685729,14
198728728976,38
198728699146,30
198728698101,14
198728698927,24
198728736643,10
198728701085,26
198728725890,19
198728686382,11
198728725456,22
198729064493,7
198729130891,17
198729184573,17
198729161499,7
197863243832,133
198729151254,9
198729181220,21
198729079879,21
198729177773,9
198729352842,15
198729391612,34
198729400239,29
198729416117,15
198729394729,27
198729414373,16
198729232656,41
198729349019,34
198729238511,17
198729406095,32
198729423900,11
198729386069,29
198729312198,24
198729392251,13
198729371775,23
198729426567,11
198729451156,23
198729359346,20
198729439413,11
198729443274,19
659658426788,72
659658426016,48
